Id,Source,Target
289,ETH,BUSD
290,KP3R,BUSD
291,XMR,ETH
292,BUSD,NGN
293,TRX,BNB
294,BNB,ZAR
295,XTZ,BUSD
296,ETH,PAX
297,VIBE,BTC
298,COMP,BUSD
299,MBL,BNB
300,JUV,BTC
301,LINKDOWN,USDT
302,TOMO,BNB
303,MITH,USDT
304,SUSHI,USDT
305,DOT,USD
306,QTUM,USDT
307,BNB,DAI
308,KAVA,USDT
309,NEAR,BNB
310,BAL,BTC
311,ETH,BRL
312,POWR,BTC
313,PERL,BNB
314,LUNA,BUSD
315,CVC,USDT
316,ELF,BTC
317,AKRO,USDT
318,ETC,ETH
319,CMT,BTC
320,EOSUP,USDT
321,ATM,BTC
322,ASR,USDT
323,ADA,EUR
324,EGLD,USDT
325,SKL,USDT
326,DCR,USDT
327,DASH,USDT
328,MATIC,BTC
329,ADA,BKRW
330,ETH,RUB
331,WTC,BTC
332,OAX,BTC
333,XRPUP,USDT
334,ADA,USDT
335,WAN,ETH
336,ATOM,BNB
337,EOS,BTC
338,XZC,ETH
339,BNB,BTC
340,TROY,USDT
341,TRX,NGN
342,NMR,BTC
343,AMB,BTC
344,NCASH,ETH
345,CELR,BNB
346,IOTA,BNB
347,FIL,BTC
348,WTC,BNB
349,RIF,USDT
350,TFUEL,USDT
351,SYS,BTC
352,BTC,GBP
353,WAVES,BNB
354,DOT,BTC
355,ONE,BUSD
356,DOGE,USDT
357,XMR,USDT
358,POWR,ETH
359,BTCUP,USDT
360,SUSHIUP,USDT
361,BEAM,BTC
362,NKN,BTC
363,AAVEUP,USDT
364,KNC,BUSD
365,REP,USDT
366,XTZ,BTC
367,RSR,BUSD
368,YFII,USDT
369,UNIDOWN,USDT
370,AVA,BUSD
371,LSK,BTC
372,POA,BTC
373,WABI,BNB
374,REEF,USDT
375,BGBP,USDC
376,INJ,USDT
377,ICX,BUSD
378,MKR,BNB
379,WTC,ETH
380,FET,USDT
381,NEO,BTC
382,ONT,BTC
383,KP3R,BNB
384,EOS,ETH
385,HIVE,BNB
386,GBP,BUSD
387,BNB,ETH
388,ETC,USDT
389,PSG,USDT
390,XTZ,BNB
391,KMD,BUSD
392,COMP,BNB
393,LINK,GBP
394,BTT,USDC
395,ZIL,BIDR
396,MBL,USDT
397,TOMO,USDT
398,EOS,USDC
399,BUSD,TRY
400,FILDOWN,USDT
401,BNB,USDC
402,SRM,BIDR
403,XVS,BUSD
404,PAXG,BTC
405,NEAR,USDT
406,XZC,USDT
407,LUNA,BNB
408,YFI,BUSD
409,BTC,BIDR
410,FLM,USDT
411,AUD,USDT
412,SAND,BTC
413,GTO,BTC
414,PERL,USDT
415,BNT,BUSD
416,ADAUP,USDT
417,FRONT,ETH
418,BLZ,BUSD
419,SXPDOWN,USDT
420,HEGIC,ETH
421,CVP,BUSD
422,STEEM,BTC
423,BURGER,BNB
424,COS,BNB
425,SNX,BTC
426,SOL,BTC
427,BCH,TUSD
428,SXP,GBP
429,1INCH,BTC
430,RENBTC,BTC
431,LSK,ETH
432,BCPT,BTC
433,CRV,BUSD
434,OST,BTC
435,PAXG,BNB
436,CDT,BTC
437,RUNE,BUSD
438,CND,BTC
439,BAL,USDT
440,ETH,NGN
441,TNB,BTC
442,BUSD,BRL
443,NEO,ETH
444,ONT,ETH
445,SNGLS,BTC
446,KNC,BTC
447,VET,BUSD
448,BTC,UAH
449,SOL,BNB
450,NAV,BTC
451,DUSK,BTC
452,BUSD,ZAR
453,UNI,BUSD
454,AVA,BTC
455,CELR,USDT
456,OCEAN,BTC
457,TRX,TRY
458,BNBDOWN,USDT
459,WRX,BUSD
460,IOTA,USDT
461,ICX,BTC
462,XRP,GBP
463,WTC,USDT
464,MANA,USDT
465,LRC,ETH
466,BNB,EUR
467,BUSD,RUB
468,TRB,BUSD
469,ONE,BNB
470,ARPA,BNB
471,BNB,BKRW
472,IQ,BUSD
473,HBAR,BUSD
474,BNB,USDT
475,RLC,ETH
476,MTH,BTC
477,ANKR,BNB
478,RSR,BNB
479,LRC,BUSD
480,XEM,BTC
481,NXS,BTC
482,GLM,BTC
483,STEEM,ETH
484,DCR,BTC
485,COVER,BUSD
486,OG,USDT
487,AVA,BNB
488,DASH,BTC
489,FOR,BUSD
490,JST,BUSD
491,ASR,BTC
492,BTC,TUSD
493,XLM,EUR
494,ICX,BNB
495,ALGO,TUSD
496,DOT,EUR
497,DOT,BKRW
498,UNIUP,USDT
499,XVS,BTC
500,TRX,USD
501,GHST,BUSD
502,OST,ETH
503,DF,BUSD
504,DOT,USDT
505,BEL,BUSD
506,TROY,BTC
507,BOT,BUSD
508,MDA,BTC
509,CDT,ETH
510,HNT,USDT
511,LTC,EUR
512,BLZ,BTC
513,AAVE,BUSD
514,DOCK,USDT
515,BNBUP,USDT
516,SNT,BTC
517,HIVE,USDT
518,RVN,BUSD
519,YFIDOWN,USDT
520,STPT,USDT
521,KNC,ETH
522,XTZ,USDT
523,TUSD,USDT
524,BRD,BTC
525,COCOS,BNB
526,LSK,USDT
527,XVS,BNB
528,ROSE,BUSD
529,ICX,ETH
530,BCH,BUSD
531,YFI,BNB
532,BLZ,BNB
533,DOTUP,USDT
534,ONT,USDT
535,LINK,TUSD
536,REP,BTC
537,NULS,BTC
538,DATA,BUSD
539,CHR,BTC
540,YOYO,BTC
541,AXS,BUSD
542,GLM,ETH
543,LTCDOWN,USDT
544,BCH,USD
545,USDT,TRY
546,DASH,ETH
547,GVT,BTC
548,CRV,BNB
549,BUSD,BVND
550,ENG,BTC
551,RUNE,BNB
552,NPXS,USDT
553,TRB,BTC
554,PAXG,USDT
555,DIA,BTC
556,NANO,BTC
557,PSG,BTC
558,VET,BNB
559,BLZ,ETH
560,TRX,BTC
561,SUN,BTC
562,STRAX,BUSD
563,CHR,BNB
564,BTC,TRY
565,PHB,TUSD
566,BUSD,IDRT
567,RLC,BTC
568,ZIL,BUSD
569,UNI,BNB
570,MBL,BTC
571,FTT,BNB
572,JST,BTC
573,FOR,BTC
574,BRD,ETH
575,SOL,USDT
576,SNX,USDT
577,AION,BTC
578,WRX,BNB
579,UMA,BTC
580,FIO,BUSD
581,ORN,BTC
582,WNXM,BUSD
583,VIA,BTC
584,1INCH,USDT
585,NEAR,BTC
586,SRM,BUSD
587,IOST,BNB
588,ARK,BTC
589,ANT,BUSD
590,TRB,BNB
591,BTC,BUSD
592,ALGO,BUSD
593,IQ,BNB
594,BOT,BTC
595,HBAR,BNB
596,USDT,BRL
597,ZEN,BNB
598,BTC,PAX
599,ZRX,BUSD
600,BCHUP,USDT
601,RLC,BNB
602,ANKR,USDT
603,REP,ETH
604,KNC,USDT
605,NULS,ETH
606,CHZ,BNB
607,RSR,USDT
608,USDT,ZAR
609,JST,BNB
610,PPT,BTC
611,XRP,TUSD
612,DUSK,USDT
613,AVA,USDT
614,OCEAN,USDT
615,ETH,USD
616,SXP,AUD
617,BTC,BRL
618,ICX,USDT
619,ROSE,BTC
620,USDT,RUB
621,LINK,TRY
622,BEL,BNB
623,BCH,BTC
624,ATOM,BTC
625,ENG,ETH
626,KEY,ETH
627,AAVE,BNB
628,RVN,BNB
629,SLP,ETH
630,LTCUP,USDT
631,STX,BTC
632,NANO,ETH
633,ETH,ZAR
634,TRX,ETH
635,CELR,BTC
636,GAS,BTC
637,XEM,USDT
638,IOTA,BTC
639,LINK,BUSD
640,BTC,RUB
641,COCOS,USDT
642,ETH,DAI
643,CREAM,BUSD
644,TRX,XRP
645,MANA,BTC
646,SXPUP,USDT
647,AION,ETH
648,BCH,BNB
649,BCHA,BUSD
650,WAVES,BTC
651,IDEX,BTC
652,XVS,USDT
653,TRX,USDC
654,NBS,BTC
655,GHST,ETH
656,SXP,TRY
657,STX,BNB
658,BLZ,USDT
659,SWRV,BUSD
660,BUSD,BKRW
661,LTC,PAX
662,STRAX,BTC
663,AXS,BTC
664,LINK,BRL
665,OG,BTC
666,BUSD,USDT
667,AXS,BNB
668,HARD,BUSD
669,VTHO,USDT
670,KSM,BUSD
671,WIN,BNB
672,WABI,BTC
673,SXP,BUSD
674,WNXM,BTC
675,FUN,BTC
676,ANT,BTC
677,MKR,BTC
678,CRV,USDT
679,HNT,BTC
680,DOCK,BTC
681,RUNE,USDT
682,AAVEDOWN,USDT
683,ETH,BTC
684,HIVE,BTC
685,ADA,TUSD
686,STPT,BTC
687,ZEC,BUSD
688,XRP,TRY
689,ELF,ETH
690,NULS,USDT
691,WIN,TRX
692,COMP,BTC
693,VET,USDT
694,ZIL,BNB
695,CHR,USDT
696,CMT,ETH
697,ADADOWN,USDT
698,FIO,BNB
699,WNXM,BNB
700,BCH,USDC
701,IOTA,ETH
702,BNB,GBP
703,ATOM,USDC
704,SUSD,BTC
705,SRM,BNB
706,PAX,USDT
707,ANT,BNB
708,TCT,USDT
709,MANA,ETH
710,XRP,BUSD
711,ALGO,BNB
712,CTK,BUSD
713,KEY,USDT
714,LUNA,BTC
715,TRB,USDT
716,WAVES,ETH
717,DIA,USDT
718,NANO,USDT
719,XRPDOWN,USDT
720,NEBL,BTC
721,RDN,BTC
722,BQX,BTC
723,XRP,PAX
724,USDT,IDRT
725,TRX,USDT
726,STMX,BTC
727,SUN,USDT
728,SCRT,BTC
729,DLT,BTC
730,RLC,USDT
731,COS,BTC
732,GRT,BTC
733,JST,USDT
734,XRP,BRL
735,AION,USDT
736,UMA,USDT
737,ORN,USDT
738,BTCDOWN,USDT
739,FUN,ETH
740,BZRX,BUSD
741,AUDIO,BUSD
742,BTC,IDRT
743,BEL,USDT
744,USDT,NGN
745,ARDR,BTC
746,SUSHI,BUSD
747,QTUM,BUSD
748,RVN,USDT
749,STMX,BNB
750,DNT,BUSD
751,XRP,RUB
752,HARD,BTC
753,CREAM,BNB
754,CTSI,BUSD
755,EUR,USDT
756,PHB,BTC
757,SXP,BTC
758,ETH,USDC
759,BTC,NGN
760,SUSD,ETH
761,BNB,BIDR
762,ROSE,USDT
763,ARPA,BTC
764,ONE,BTC
765,BCH,USDT
766,ATOM,USDT
767,SWRV,BNB
768,ANKR,BTC
769,EGLD,BUSD
770,SKL,BUSD
771,STX,USDT
772,NEBL,ETH
773,RSR,BTC
774,BQX,ETH
775,ENJ,BUSD
776,HARD,BNB
777,XLMUP,USDT
778,ADA,BUSD
779,GO,BTC
780,STORJ,USDT
781,SCRT,ETH
782,KSM,BNB
783,LOOM,BTC
784,SXP,BNB
785,GRT,ETH
786,DOT,BIDR
787,CHZ,TRY
788,UNFI,BUSD
789,BUSD,DAI
790,AST,BTC
791,DENT,ETH
792,NPXS,ETH
793,CTK,BTC
794,BAT,BUSD
795,DREP,USDT
796,WAVES,USDT
797,SC,BNB
798,AVAX,TRY
799,ZEC,BNB
800,NBS,USDT
801,USDT,BKRW
802,DOTDOWN,USDT
803,KMD,BTC
804,MDT,BTC
805,STRAX,USDT
806,LINK,NGN
807,ETHDOWN,USDT
808,YFIUP,USDT
809,DOGE,BUSD
810,XMR,BUSD
811,AVAX,BUSD
812,BTS,BTC
813,LINKUP,USDT
814,FIO,USDT
815,RENBTC,ETH
816,XRP,BNB
817,WNXM,USDT
818,MTL,BTC
819,FUN,USDT
820,ETH,EUR
821,CTK,BNB
822,ANT,USDT
823,MKR,USDT
824,ETH,BKRW
825,YFI,BTC
826,BNT,BTC
827,BTC,USDT
828,BTT,TUSD
829,ETH,USDT
830,CTXC,BTC
831,EVX,BTC
832,EOS,TUSD
833,INJ,BUSD
834,CAKE,BUSD
835,BNB,TUSD
836,XLMDOWN,USDT
837,COMP,USDT
838,CTSI,BTC
839,LOOM,ETH
840,CRV,BTC
841,SUSD,USDT
842,ETC,BUSD
843,RUNE,BTC
844,BZRX,BNB
845,BTC,AUD
846,CELO,BTC
847,LUNA,USDT
848,MITH,BNB
849,ALPHA,BUSD
850,VET,BTC
851,GXS,BTC
852,KMD,ETH
853,ENJ,BTC
854,STMX,USDT
855,THETA,BTC
856,UNI,BTC
857,XEM,ETH
858,DGB,BUSD
859,FTT,BTC
860,EASY,ETH
861,COS,USDT
862,GRT,USDT
863,WRX,BTC
864,LTC,TUSD
865,CTSI,BNB
866,TCT,BTC
867,AUD,BUSD
868,AERGO,BUSD
869,FLM,BUSD
870,XRP,NGN
871,DENT,USDT
872,IOST,BTC
873,MTL,ETH
874,BAT,BTC
875,HBAR,BTC
876,JUV,BUSD
877,EGLD,BNB
878,GRS,BTC
879,BNT,ETH
880,ZEN,BTC
881,ARDR,USDT
882,LRC,BTC
883,SNT,ETH
884,ENJ,BNB
885,CVP,ETH
886,THETA,BNB
887,EVX,ETH
888,ADA,BNB
889,CHZ,BTC
890,LINK,AUD
891,HOT,BTC
892,REQ,BTC
893,OMG,BTC
894,HARD,USDT
895,NAS,BTC
896,UNFI,BNB
897,AVAX,BTC
898,SXP,USDT
899,AGI,BTC
900,BAT,BNB
901,BEL,BTC
902,ARPA,USDT
903,ONE,USDT
904,MFT,BNB
905,AAVE,BTC
906,TRXUP,USDT
907,UTK,USDT
908,RVN,BTC
909,BNB,TRY
910,MATIC,BUSD
911,VET,ETH
912,BTT,BUSD
913,HOT,BNB
914,GXS,ETH
915,QKC,BTC
916,IRIS,BTC
917,ENJ,ETH
918,BTC,USD
919,THETA,ETH
920,EOS,BUSD
921,XMR,BNB
922,AVAX,BNB
923,BNB,BUSD
924,USDT,DAI
925,PNT,BTC
926,XLM,TRY
927,BAND,BTC
928,NMR,BUSD
929,XRP,USDT
930,IOST,ETH
931,CTK,USDT
932,BNB,PAX
933,BUSD,BIDR
934,BTC,ZAR
935,BAT,ETH
936,GBP,USDT
937,DATA,BTC
938,FIL,BUSD
939,INJ,BNB
940,CAKE,BNB
941,PROM,BUSD
942,USDC,USDT
943,ZEN,ETH
944,STORJ,BTC
945,MDT,USDT
946,DGB,BTC
947,WAN,BTC
948,BTC,DAI
